,losses,accuracy,k accuracy
train,0.5889481028531818,0.8036708860759494,0.9623327305605787
val,1.2706940665289208,0.5836226851851852,0.8653067129629629
test,1.2707944875789174,0.5874439461883408,0.862867062056994
