epochs,accuracy,accuracy@3,precision,recall,F1_score,data_type
44,0.8525485436893204,0.9875529001742595,"[0.8331299040975734, 0.8609139307895162, 0.8899270072990102, 0.7617803895961734, 0.8382445141060575, 0.8894827430020029, 0.8985831469046245, 0.8591549295773914, 0.9004017762738632, 0.9170442662945566, 0.8340301003340995]","[0.7418102779070996, 0.979803080030048, 0.8497351547251604, 0.8215962441313589, 0.915753424656907, 0.9304463185823054, 0.7850162866444398, 0.898259705488541, 0.8171176357703286, 0.8381650207069646, 0.8990536277598472]","[0.7848226013413011, 0.9165190690496319, 0.8693667992718386, 0.7905584725934018, 0.8752864152123508, 0.9095035193223253, 0.8379694014488411, 0.8782722508090713, 0.8567404421569387, 0.8758322232024492, 0.865322055453484]",training
46,0.8309839432412248,0.9863548668160319,"[0.8787454192712999, 0.8906505012821424, 0.862722898386396, 0.7601228389444085, 0.9409209383136916, 0.7873448751339982, 0.7274159663861726, 0.830848623853143, 0.8866388308975184, 0.8558330698701057, 0.8824644549758851]","[0.6328986182269343, 0.9644029285531521, 0.8497351547251604, 0.7843896713614102, 0.7417808219173001, 0.9739410594142922, 0.9022801302925718, 0.9052208835340557, 0.8150067165609642, 0.8623765530420955, 0.8391167192425241]","[0.7358303244229059, 0.9260606055611719, 0.8561797747806872, 0.7720656187236941, 0.8295672151325642, 0.8707586727804143, 0.8054667049429152, 0.8664417199125807, 0.8493150679938668, 0.8590923511341363, 0.8602448597447798]",training
48,0.8700678366940503,0.9902757032611401,"[0.8291771586385485, 0.9299582206928164, 0.8928970917223454, 0.8048189993081848, 0.8707528314451227, 0.888938447814372, 0.8813998703818008, 0.8788798335355575, 0.8994035785286482, 0.9185733512782912, 0.9352051835848082]","[0.7924235367178394, 0.9553143145667874, 0.8901589071645135, 0.8193661971830024, 0.8952054794514417, 0.9442812470386672, 0.8859934853414424, 0.9046854082997854, 0.868163500287686, 0.8697037273014113, 0.7805317710676969]","[0.8103838362802503, 0.9424657529245132, 0.8915258964702952, 0.8120274509364932, 0.8828098610327653, 0.9157744791217471, 0.883690707751541, 0.8915959359967938, 0.8835074694736189, 0.8934707898780878, 0.8508965851091477]",training
50,0.8665515309932785,0.9901512322628827,"[0.8061761341974223, 0.9147378365609553, 0.9056658878502027, 0.8394430961807587, 0.9242424242417574, 0.9051329055911177, 0.768978700163425, 0.8720387342209172, 0.8892005610096394, 0.870928088506186, 0.9549653579671161]","[0.8207576463281462, 0.9777833880330781, 0.8645107332029929, 0.7713615023473273, 0.8773972602733716, 0.9357528664833757, 0.9172638436476109, 0.9001338688084872, 0.8516599501053824, 0.9028352978652746, 0.7453808021628007]","[0.8134015458322467, 0.9452104937041068, 0.8846098982305841, 0.8039635446717532, 0.9002108217063112, 0.9201882304090588, 0.836601306692912, 0.8858635979366557, 0.8700254846990423, 0.8865947124671923, 0.8372563902943152]",training
52,0.8578230022404779,0.9894822006472492,"[0.803777382150259, 0.937202902176398, 0.8112887596897259, 0.8010245663056466, 0.8865345181128595, 0.9378211716340249, 0.7734899328854734, 0.8581416898322922, 0.9056399132319076, 0.8700406123083817, 0.9225708502019623]","[0.8060860114888366, 0.9457207775811801, 0.9336492890992658, 0.8075117370891071, 0.8883561643829532, 0.864683028522613, 0.9009771986964814, 0.9091477019187051, 0.8011897908269427, 0.887225230964993, 0.8215412347900759]","[0.8049300409711994, 0.941442573010706, 0.8681788718288699, 0.8042550699306813, 0.8874444059311414, 0.8997682783549473, 0.8323803786778411, 0.8829086491796604, 0.8502189181454219, 0.8785488953988244, 0.8691299160686055]",training
54,0.864279935275081,0.9901979088872293,"[0.8328453108005661, 0.9378928840832442, 0.8401199100672395, 0.7971611721610808, 0.9083032490968171, 0.8929480189021362, 0.8729096989960716, 0.8636825181925145, 0.909947643978867, 0.8872785829304711, 0.9109351806032108]","[0.7727837292345309, 0.9416813935872401, 0.9375522720934102, 0.8173708920186834, 0.8616438356158482, 0.9311096370699392, 0.8501628664489576, 0.910932619366273, 0.833813087698938, 0.8776680471484939, 0.829652996845052]","[0.8016911611676372, 0.939783320235467, 0.8861660074064068, 0.8071395451652607, 0.8843585232255605, 0.9116296325659596, 0.8613861381133798, 0.8866785383527293, 0.8702183051286577, 0.8824471487630249, 0.868396225915775]",training
56,0.8893141647996017,0.9938542444610405,"[0.8526125275416389, 0.9560050568897709, 0.8538328814392768, 0.9053237814298489, 0.8937418513683874, 0.9227706269098136, 0.8806064434612252, 0.8381272471470347, 0.9385946402192574, 0.9469798657714943, 0.9530938123747739]","[0.841096103089517, 0.9545569300679236, 0.9657095065511665, 0.7564553990609441, 0.9390410958897678, 0.9442812470386672, 0.9081433224749784, 0.9569834895135245, 0.853578967568441, 0.899012424338675, 0.8607480847224602]","[0.8468151616726807, 0.9552804441687837, 0.9063317629762737, 0.8242214970421129, 0.915831662826347, 0.9334020227296529, 0.8941629244514373, 0.8936205670257642, 0.8940703512597393, 0.9223729362544077, 0.9045702102515186]",training
58,0.8843508837440877,0.9926873288523774,"[0.8605847762168523, 0.9396105496670102, 0.8873239436617361, 0.7712278558337639, 0.9039623908657461, 0.9066390041492958, 0.9404945904165839, 0.9084232478011689, 0.9615653389236054, 0.9201938610659386, 0.9366666666662207]","[0.8179630492158967, 0.9623832365561822, 0.9308614441034483, 0.8890845070421491, 0.9219178082185466, 0.952430588458168, 0.7928338762209819, 0.8941543953591348, 0.7921704087505675, 0.9072953169796408, 0.8864353312298845]","[0.8387327862550116, 0.9508605632314384, 0.9085714280714681, 0.8259731758190795, 0.9128518136737256, 0.9289708391878184, 0.8603746902064492, 0.9012323463561165, 0.8686868681913507, 0.9136990691179543, 0.9108589946377212]",training
0,0.5560811651935765,0.865803560313706,"[0.4538526672307757, 0.664516129030829, 0.5267857142847736, 0.48729281767901955, 0.4787234042502263, 0.6625077978785636, 0.3347107438002698, 0.6042810098789219, 0.5883777239695197, 0.4805491990835685, 0.4630225080370964]","[0.3388116308468149, 0.6255060728732277, 0.6120331950194772, 0.3994565217387686, 0.29032258064328825, 0.8027210884347674, 0.4525139664779189, 0.7814052519511843, 0.376160990711492, 0.5440414507757927, 0.5274725274705954]","[0.3879840747907431, 0.6444212716576118, 0.5662188094825211, 0.43902438974837127, 0.3614457826596345, 0.7259056727781767, 0.38479809927183894, 0.6815227478828636, 0.4589235122712128, 0.5103280675444222, 0.49315068443193494]",validation
2,0.5685298145151251,0.8725258309473423,"[0.4302045728035919, 0.6172006745352155, 0.6024390243887745, 0.41307277628004513, 0.4324324324295106, 0.7073002754816066, 0.7307692307411242, 0.6804613297145994, 0.6886792452808532, 0.6050955413993468, 0.6842105263112881]","[0.45195954487961315, 0.7408906882576095, 0.5124481327790198, 0.5552536231879028, 0.41290322580378774, 0.776266061979761, 0.10614525139605506, 0.7118523775722414, 0.3390092879251718, 0.4922279792733362, 0.38095238095098555]","[0.44081380961100636, 0.6734130629803693, 0.553811658694841, 0.47372488359078463, 0.4224422437219009, 0.7401801796807272, 0.18536585343524095, 0.6958029825035869, 0.45435684602997106, 0.5428571423608817, 0.4894117642441079]",validation
