epochs,training accuracy,validation accuracy
0,0.5638595569023361,0.5619047619047619
2,0.5932344892626892,0.5797155225726655
4,0.605262751039718,0.583426097711812
6,0.6273403317821308,0.5955473098330241
8,0.6446715418747391,0.6100185528756957
10,0.6552619780151822,0.6024737167594311
12,0.6528656019542061,0.6025974025974026
14,0.6734898965693171,0.6076685219542363
16,0.673536278041465,0.5981447124304267
18,0.6877135480280144,0.6064316635745207
20,0.70175167359812,0.604700061842919
22,0.6969898424575997,0.597526283240569
24,0.7032668016882856,0.5983920841063698
26,0.7175368346191308,0.6003710575139146
28,0.7310956849770411,0.6024737167594311
30,0.7311266059584731,0.5924551638837353
32,0.7304927258391182,0.5924551638837353
34,0.7308946985977335,0.5970315398886827
36,0.7390887586772004,0.5861471861471862
38,0.7389650747514727,0.5915893630179344
40,0.7507305081863298,0.6008658008658009
42,0.7548584592074953,0.5923314780457638
44,0.7632535056662698,0.5931972789115646
46,0.7696850698041156,0.5866419294990723
48,0.7685564539818494,0.5915893630179344
50,0.7673505357060033,0.5914656771799629
52,0.7667475765680802,0.578726035868893
54,0.7812031353875172,0.5892393320964749
56,0.7644903449235478,0.5908472479901051
58,0.772498879114423,0.5831787260358688
60,0.7792551135573043,0.5880024737167594
62,0.7891498276155285,0.5849103277674707
64,0.7859340455466056,0.5814471243042671
66,0.7927212009709188,0.5880024737167594
68,0.7868771354802802,0.5878787878787879
70,0.7797498492602155,0.5799628942486086
72,0.7884850265147416,0.577365491651206
74,0.805197816978711,0.5799628942486086
76,0.7799508356395232,0.576252319109462
78,0.8062800513288292,0.5908472479901051
80,0.8117221440608525,0.5882498453927025
82,0.8087073483712373,0.5700680272108843
84,0.8183546945780059,0.5795918367346938
86,0.8085372829733616,0.5725417439703154
88,0.8103461603871307,0.5755102040816327
90,0.8139639152146689,0.5810760667903525
92,0.8062182093659652,0.5708101422387136
94,0.8223125802012956,0.5788497217068646
96,0.8227918554134909,0.5799628942486086
98,0.8160974629334735,0.5774891774891775
